Stochastic Gradient, batch size= 1 / 1000
  iter   |   fval   |  normit 
   18000 | 6.82e-01 | 1.19e-01
   19000 | 6.82e-01 | 1.11e-01
   20000 | 6.82e-01 | 1.05e-01
   21000 | 6.82e-01 | 1.01e-01
   22000 | 6.82e-01 | 9.52e-02
   23000 | 6.82e-01 | 8.90e-02
   24000 | 6.82e-01 | 8.43e-02
   25000 | 6.82e-01 | 7.83e-02
   26000 | 6.82e-01 | 7.56e-02
   27000 | 6.82e-01 | 7.53e-02
   28000 | 6.82e-01 | 7.44e-02
   29000 | 6.82e-01 | 7.15e-02
   30000 | 6.82e-01 | 6.97e-02
   31000 | 6.82e-01 | 6.60e-02
   32000 | 6.82e-01 | 6.34e-02
   33000 | 6.82e-01 | 6.32e-02
   34000 | 6.82e-01 | 6.17e-02
   35000 | 6.82e-01 | 5.87e-02
   36000 | 6.82e-01 | 5.76e-02
   37000 | 6.82e-01 | 5.54e-02
   38000 | 6.82e-01 | 5.02e-02
   39000 | 6.82e-01 | 4.85e-02
   40000 | 6.82e-01 | 4.87e-02
   41000 | 6.82e-01 | 4.76e-02
   42000 | 6.82e-01 | 4.75e-02
   43000 | 6.82e-01 | 4.42e-02
   44000 | 6.82e-01 | 4.39e-02
   45000 | 6.82e-01 | 4.11e-02
   46000 | 6.82e-01 | 3.86e-02
   47000 | 6.82e-01 | 3.80e-02
   48000 | 6.82e-01 | 3.71e-02
   49000 | 6.82e-01 | 3.65e-02
   50000 | 6.82e-01 | 3.76e-02
   51000 | 6.82e-01 | 3.69e-02
   52000 | 6.82e-01 | 3.43e-02
   53000 | 6.82e-01 | 3.43e-02
   54000 | 6.82e-01 | 3.50e-02
   55000 | 6.82e-01 | 3.37e-02
   56000 | 6.82e-01 | 3.26e-02
   57000 | 6.82e-01 | 3.10e-02
   58000 | 6.82e-01 | 2.99e-02
   59000 | 6.82e-01 | 2.88e-02
   60000 | 6.82e-01 | 2.80e-02
Stochastic Gradient, batch size= 1 / 1000
  iter   |   fval   |  normit 
       0 | 6.93e-01 | 8.05e-01
    1000 | 6.82e-01 | 1.64e-01
    2000 | 6.82e-01 | 7.25e-02
    3000 | 6.82e-01 | 9.56e-02
    4000 | 6.82e-01 | 8.87e-02
    5000 | 6.82e-01 | 4.52e-02
    6000 | 6.82e-01 | 7.08e-02
    7000 | 6.82e-01 | 4.10e-02
    8000 | 6.82e-01 | 5.24e-02
    9000 | 6.82e-01 | 6.55e-02
   10000 | 6.82e-01 | 1.03e-01
   11000 | 6.82e-01 | 8.89e-02
   12000 | 6.82e-01 | 6.98e-02
   13000 | 6.82e-01 | 4.95e-02
   14000 | 6.82e-01 | 4.90e-02
   15000 | 6.82e-01 | 6.40e-02
   16000 | 6.82e-01 | 6.07e-02
   17000 | 6.82e-01 | 3.48e-02
   18000 | 6.82e-01 | 4.90e-02
   19000 | 6.82e-01 | 3.59e-02
   20000 | 6.82e-01 | 7.20e-02
   21000 | 6.82e-01 | 6.46e-02
   22000 | 6.82e-01 | 5.94e-02
   23000 | 6.82e-01 | 3.05e-02
   24000 | 6.82e-01 | 3.87e-02
   25000 | 6.82e-01 | 5.71e-02
   26000 | 6.82e-01 | 4.82e-02
   27000 | 6.82e-01 | 5.21e-02
   28000 | 6.82e-01 | 6.88e-02
   29000 | 6.82e-01 | 5.70e-02
   30000 | 6.82e-01 | 2.28e-02
   31000 | 6.82e-01 | 4.89e-02
   32000 | 6.82e-01 | 4.11e-02
   33000 | 6.82e-01 | 5.61e-02
   34000 | 6.82e-01 | 7.41e-02
   35000 | 6.82e-01 | 7.95e-02
   36000 | 6.82e-01 | 4.88e-02
   37000 | 6.82e-01 | 2.52e-02
   38000 | 6.82e-01 | 3.01e-02
   39000 | 6.82e-01 | 4.26e-02
   40000 | 6.82e-01 | 4.04e-02
   41000 | 6.82e-01 | 6.91e-02
   42000 | 6.82e-01 | 2.77e-02
   43000 | 6.82e-01 | 4.92e-02
   44000 | 6.82e-01 | 2.31e-02
   45000 | 6.82e-01 | 3.87e-02
   46000 | 6.82e-01 | 4.66e-02
   47000 | 6.82e-01 | 6.37e-02
   48000 | 6.82e-01 | 5.49e-02
   49000 | 6.82e-01 | 2.18e-02
   50000 | 6.82e-01 | 2.65e-02
   51000 | 6.82e-01 | 4.61e-02
   52000 | 6.82e-01 | 5.48e-02
   53000 | 6.82e-01 | 3.39e-02
   54000 | 6.82e-01 | 5.65e-02
   55000 | 6.82e-01 | 2.54e-02
   56000 | 6.82e-01 | 5.20e-02
   57000 | 6.82e-01 | 4.71e-02
   58000 | 6.82e-01 | 1.54e-02
   59000 | 6.82e-01 | 3.82e-02
   60000 | 6.82e-01 | 4.66e-02
Stochastic Gradient, batch size= 1 / 1000
  iter   |   fval   |  normit 
       0 | 6.93e-01 | 8.05e-01
    1000 | 6.92e-01 | 7.67e-01
    2000 | 6.84e-01 | 3.67e-01
    3000 | 6.99e-01 | 9.97e-01
    4000 | 6.84e-01 | 3.39e-01
    5000 | 6.82e-01 | 2.23e-01
    6000 | 6.83e-01 | 2.32e-01
    7000 | 6.89e-01 | 6.08e-01
    8000 | 6.84e-01 | 4.07e-01
    9000 | 6.85e-01 | 4.56e-01
   10000 | 6.84e-01 | 3.41e-01
   11000 | 6.88e-01 | 6.09e-01
   12000 | 6.89e-01 | 6.82e-01
   13000 | 6.94e-01 | 8.49e-01
   14000 | 6.83e-01 | 3.21e-01
   15000 | 6.84e-01 | 3.26e-01
   16000 | 6.85e-01 | 4.26e-01
   17000 | 6.88e-01 | 6.10e-01
   18000 | 6.88e-01 | 5.96e-01
   19000 | 6.84e-01 | 3.58e-01
   20000 | 6.84e-01 | 3.00e-01
   21000 | 7.53e-01 | 1.99e+00
   22000 | 8.29e-01 | 2.90e+00
   23000 | 6.88e-01 | 6.19e-01
   24000 | 6.84e-01 | 3.81e-01
   25000 | 6.85e-01 | 4.26e-01
   26000 | 6.93e-01 | 8.31e-01
   27000 | 6.87e-01 | 5.13e-01
   28000 | 6.84e-01 | 3.65e-01
   29000 | 6.87e-01 | 5.27e-01
   30000 | 6.90e-01 | 6.49e-01
   31000 | 6.86e-01 | 4.62e-01
   32000 | 6.92e-01 | 7.97e-01
   33000 | 6.84e-01 | 3.45e-01
   34000 | 6.86e-01 | 5.27e-01
   35000 | 6.88e-01 | 5.72e-01
   36000 | 6.86e-01 | 5.10e-01
   37000 | 6.84e-01 | 3.71e-01
   38000 | 6.86e-01 | 4.83e-01
   39000 | 6.84e-01 | 3.81e-01
   40000 | 6.82e-01 | 1.83e-01
   41000 | 6.84e-01 | 2.84e-01
   42000 | 6.84e-01 | 2.95e-01
   43000 | 6.86e-01 | 4.94e-01
   44000 | 9.66e-01 | 4.09e+00
   45000 | 6.84e-01 | 3.96e-01
   46000 | 6.84e-01 | 3.76e-01
   47000 | 6.82e-01 | 1.98e-01
   48000 | 6.92e-01 | 7.35e-01
   49000 | 6.85e-01 | 4.52e-01
   50000 | 6.86e-01 | 5.00e-01
   51000 | 6.87e-01 | 5.64e-01
   52000 | 6.83e-01 | 2.91e-01
   53000 | 7.11e-01 | 1.24e+00
   54000 | 6.85e-01 | 3.91e-01
   55000 | 6.83e-01 | 2.63e-01
   56000 | 6.84e-01 | 3.38e-01
   57000 | 6.84e-01 | 3.69e-01
   58000 | 6.85e-01 | 3.51e-01
   59000 | 6.84e-01 | 3.46e-01
   60000 | 8.42e-01 | 3.04e+00
