,obj,nits
0,0.6931471805599453,4.096463453143686
1,0.6830832491564341,3.5914193689737735
2,0.6758402438397542,3.154727220028187
3,0.6703338448171029,2.7740944444192843
4,0.6661359311227053,2.4419158350266015
5,0.6629271669697792,2.151647435017251
6,0.6604680580091001,1.8976686827080083
7,0.6585787028725963,1.6751597962043658
8,0.6571236333435078,1.479986683500551
9,0.656000532038791,1.308598506823178
10,0.6551318713015268,1.1579394271222998
11,0.6544587193914405,1.0253738440551472
12,0.6539361432270544,0.9086235626420295
13,0.6535297852354979,0.8057151194608126
14,0.6532133048571674,0.7149356050447268
15,0.6529664587843216,0.6347955314547422
16,0.6527736548976263,0.5639975254485672
17,0.6526228590023624,0.5014098412300771
18,0.652504765447224,0.44604387018860425
19,0.6524121659351206,0.3970349770668785
20,0.6523394677687578,0.3536261157193352
21,0.6522823251764576,0.3151537774222424
22,0.6522373564928698,0.281035904933961
23,0.6522019267224227,0.25076147001889454
24,0.652173980033022,0.2238814641388835
25,0.6521519104757731,0.20000109406266456
26,0.6521344620373362,0.17877300829913334
27,0.6521206512477581,0.15989140814026045
28,0.6521097071656641,0.1430869199738855
29,0.652101024774979,0.12812212439129997
30,0.6520941287491853,0.1147876532521429
31,0.6520886452420402,0.10289877889636737
32,0.6520842799009975,0.09229243059761394
33,0.6520808007112531,0.08282458252168075
34,0.6520780245943965,0.07436796519714031
35,0.6520758069287577,0.06681005907053982
36,0.6520740333458769,0.060051334306086765
37,0.6520726133020792,0.0540037057613768
38,0.6520714750358853,0.0485891761586965
39,0.652070561608457,0.043738643983943934
40,0.6520698277912955,0.03939085567135627
41,0.6520692376173982,0.03549148424570309
42,0.6520687624524621,0.031992318855694465
43,0.6520683794741283,0.02885055159418422
44,0.6520680704716929,0.02602814970526459
45,0.6520678208977609,0.02349130276164408
46,0.6520676191181637,0.021209935688354546
47,0.6520674558180553,0.019157279636743806
48,0.6520673235311631,0.01730949369796368
49,0.652067216266245,0.015645331306631646
50,0.652067129210358,0.014145845939179117
51,0.652067058492882,0.01279413137152334
52,0.6520670009976484,0.0115750923390848
53,0.6520669542132028,0.010475241949184654
54,0.6520669161133273,0.00948252264048229
55,0.6520668850615964,0.008586147874123406
56,0.6520668597350516,0.0077764620834859174
57,0.6520668390630935,0.007044816709705175
58,0.6520668221785024,0.006383460413730751
59,0.6520668083781388,0.005785441787004163
60,0.6520667970913738,0.005244523085909202
