Stochastic Gradient, batch size= 1 / 1000
  iter   |   fval   |  normit 
     430 | 6.88e-01 | 6.05e-01
     440 | 6.88e-01 | 6.03e-01
     450 | 6.88e-01 | 6.01e-01
     460 | 6.88e-01 | 5.99e-01
     470 | 6.88e-01 | 5.97e-01
     480 | 6.88e-01 | 5.95e-01
     490 | 6.88e-01 | 5.93e-01
     500 | 6.88e-01 | 5.91e-01
     510 | 6.88e-01 | 5.89e-01
     520 | 6.88e-01 | 5.87e-01
     530 | 6.88e-01 | 5.86e-01
     540 | 6.88e-01 | 5.84e-01
     550 | 6.88e-01 | 5.82e-01
     560 | 6.87e-01 | 5.80e-01
     570 | 6.87e-01 | 5.79e-01
     580 | 6.87e-01 | 5.77e-01
     590 | 6.87e-01 | 5.75e-01
     600 | 6.87e-01 | 5.73e-01
     610 | 6.87e-01 | 5.72e-01
     620 | 6.87e-01 | 5.70e-01
     630 | 6.87e-01 | 5.68e-01
     640 | 6.87e-01 | 5.67e-01
     650 | 6.87e-01 | 5.65e-01
     660 | 6.87e-01 | 5.64e-01
     670 | 6.87e-01 | 5.62e-01
     680 | 6.87e-01 | 5.60e-01
     690 | 6.87e-01 | 5.59e-01
     700 | 6.87e-01 | 5.57e-01
     710 | 6.87e-01 | 5.56e-01
     720 | 6.87e-01 | 5.54e-01
     730 | 6.87e-01 | 5.53e-01
     740 | 6.87e-01 | 5.51e-01
     750 | 6.87e-01 | 5.50e-01
     760 | 6.87e-01 | 5.48e-01
     770 | 6.87e-01 | 5.47e-01
     780 | 6.87e-01 | 5.46e-01
     790 | 6.87e-01 | 5.44e-01
     800 | 6.87e-01 | 5.43e-01
     810 | 6.87e-01 | 5.42e-01
     820 | 6.87e-01 | 5.40e-01
     830 | 6.87e-01 | 5.39e-01
     840 | 6.87e-01 | 5.38e-01
     850 | 6.87e-01 | 5.37e-01
     860 | 6.87e-01 | 5.35e-01
     870 | 6.87e-01 | 5.34e-01
     880 | 6.87e-01 | 5.33e-01
     890 | 6.86e-01 | 5.32e-01
     900 | 6.86e-01 | 5.31e-01
     910 | 6.86e-01 | 5.29e-01
     920 | 6.86e-01 | 5.28e-01
     930 | 6.86e-01 | 5.27e-01
     940 | 6.86e-01 | 5.25e-01
     950 | 6.86e-01 | 5.24e-01
     960 | 6.86e-01 | 5.23e-01
     970 | 6.86e-01 | 5.22e-01
     980 | 6.86e-01 | 5.21e-01
     990 | 6.86e-01 | 5.19e-01
    1000 | 6.86e-01 | 5.18e-01
Stochastic Gradient, batch size= 1 / 1000
  iter   |   fval   |  normit 
       0 | 6.93e-01 | 8.05e-01
    1000 | 6.93e-01 | 8.01e-01
    2000 | 6.93e-01 | 8.00e-01
    3000 | 6.93e-01 | 7.99e-01
    4000 | 6.93e-01 | 7.98e-01
    5000 | 6.93e-01 | 7.97e-01
    6000 | 6.93e-01 | 7.96e-01
    7000 | 6.93e-01 | 7.96e-01
    8000 | 6.93e-01 | 7.95e-01
    9000 | 6.93e-01 | 7.94e-01
   10000 | 6.93e-01 | 7.94e-01
   11000 | 6.93e-01 | 7.93e-01
   12000 | 6.93e-01 | 7.93e-01
   13000 | 6.93e-01 | 7.92e-01
   14000 | 6.93e-01 | 7.92e-01
   15000 | 6.93e-01 | 7.91e-01
   16000 | 6.93e-01 | 7.91e-01
   17000 | 6.93e-01 | 7.90e-01
   18000 | 6.93e-01 | 7.90e-01
   19000 | 6.93e-01 | 7.89e-01
   20000 | 6.93e-01 | 7.89e-01
   21000 | 6.93e-01 | 7.88e-01
   22000 | 6.93e-01 | 7.88e-01
   23000 | 6.93e-01 | 7.88e-01
   24000 | 6.93e-01 | 7.87e-01
   25000 | 6.93e-01 | 7.87e-01
   26000 | 6.93e-01 | 7.87e-01
   27000 | 6.93e-01 | 7.86e-01
   28000 | 6.93e-01 | 7.86e-01
   29000 | 6.93e-01 | 7.86e-01
   30000 | 6.93e-01 | 7.85e-01
   31000 | 6.93e-01 | 7.85e-01
   32000 | 6.93e-01 | 7.85e-01
   33000 | 6.93e-01 | 7.84e-01
   34000 | 6.93e-01 | 7.84e-01
   35000 | 6.93e-01 | 7.84e-01
   36000 | 6.93e-01 | 7.83e-01
   37000 | 6.93e-01 | 7.83e-01
   38000 | 6.93e-01 | 7.83e-01
   39000 | 6.92e-01 | 7.83e-01
   40000 | 6.92e-01 | 7.82e-01
   41000 | 6.92e-01 | 7.82e-01
   42000 | 6.92e-01 | 7.82e-01
   43000 | 6.92e-01 | 7.81e-01
   44000 | 6.92e-01 | 7.81e-01
   45000 | 6.92e-01 | 7.81e-01
   46000 | 6.92e-01 | 7.81e-01
   47000 | 6.92e-01 | 7.80e-01
   48000 | 6.92e-01 | 7.80e-01
   49000 | 6.92e-01 | 7.80e-01
   50000 | 6.92e-01 | 7.80e-01
   51000 | 6.92e-01 | 7.79e-01
   52000 | 6.92e-01 | 7.79e-01
   53000 | 6.92e-01 | 7.79e-01
   54000 | 6.92e-01 | 7.79e-01
   55000 | 6.92e-01 | 7.78e-01
   56000 | 6.92e-01 | 7.78e-01
   57000 | 6.92e-01 | 7.78e-01
   58000 | 6.92e-01 | 7.78e-01
   59000 | 6.92e-01 | 7.77e-01
   60000 | 6.92e-01 | 7.77e-01
   61000 | 6.92e-01 | 7.77e-01
   62000 | 6.92e-01 | 7.77e-01
   63000 | 6.92e-01 | 7.77e-01
   64000 | 6.92e-01 | 7.76e-01
   65000 | 6.92e-01 | 7.76e-01
   66000 | 6.92e-01 | 7.76e-01
   67000 | 6.92e-01 | 7.76e-01
   68000 | 6.92e-01 | 7.75e-01
   69000 | 6.92e-01 | 7.75e-01
   70000 | 6.92e-01 | 7.75e-01
   71000 | 6.92e-01 | 7.75e-01
   72000 | 6.92e-01 | 7.75e-01
   73000 | 6.92e-01 | 7.74e-01
   74000 | 6.92e-01 | 7.74e-01
   75000 | 6.92e-01 | 7.74e-01
   76000 | 6.92e-01 | 7.74e-01
   77000 | 6.92e-01 | 7.74e-01
   78000 | 6.92e-01 | 7.73e-01
   79000 | 6.92e-01 | 7.73e-01
   80000 | 6.92e-01 | 7.73e-01
   81000 | 6.92e-01 | 7.73e-01
   82000 | 6.92e-01 | 7.73e-01
   83000 | 6.92e-01 | 7.72e-01
   84000 | 6.92e-01 | 7.72e-01
   85000 | 6.92e-01 | 7.72e-01
   86000 | 6.92e-01 | 7.72e-01
   87000 | 6.92e-01 | 7.72e-01
   88000 | 6.92e-01 | 7.71e-01
   89000 | 6.92e-01 | 7.71e-01
   90000 | 6.92e-01 | 7.71e-01
   91000 | 6.92e-01 | 7.71e-01
   92000 | 6.92e-01 | 7.71e-01
   93000 | 6.92e-01 | 7.71e-01
   94000 | 6.92e-01 | 7.70e-01
   95000 | 6.92e-01 | 7.70e-01
   96000 | 6.92e-01 | 7.70e-01
   97000 | 6.92e-01 | 7.70e-01
   98000 | 6.92e-01 | 7.70e-01
   99000 | 6.92e-01 | 7.69e-01
  100000 | 6.92e-01 | 7.69e-01
