Stochastic Gradient, batch size= 1 / 10000
  iter   |   fval   |  normit 
  180000 | 6.82e-01 | 1.17e-01
  190000 | 6.82e-01 | 1.31e-01
  200000 | 6.83e-01 | 2.10e-01
  210000 | 6.83e-01 | 1.79e-01
  220000 | 6.82e-01 | 1.53e-01
  230000 | 6.83e-01 | 2.42e-01
  240000 | 6.83e-01 | 1.52e-01
  250000 | 6.83e-01 | 1.97e-01
  260000 | 6.82e-01 | 6.49e-02
  270000 | 6.82e-01 | 1.31e-01
  280000 | 6.82e-01 | 8.00e-02
  290000 | 6.83e-01 | 1.98e-01
  300000 | 6.83e-01 | 2.25e-01
  310000 | 6.83e-01 | 2.62e-01
  320000 | 6.82e-01 | 9.73e-02
  330000 | 6.82e-01 | 1.32e-01
  340000 | 6.82e-01 | 9.83e-02
  350000 | 6.83e-01 | 1.72e-01
  360000 | 6.82e-01 | 1.40e-01
  370000 | 6.84e-01 | 2.65e-01
  380000 | 6.83e-01 | 1.94e-01
  390000 | 6.82e-01 | 1.21e-01
  400000 | 6.82e-01 | 8.62e-02
  410000 | 6.83e-01 | 2.21e-01
  420000 | 6.82e-01 | 6.84e-02
  430000 | 6.82e-01 | 8.23e-02
  440000 | 6.83e-01 | 1.86e-01
  450000 | 6.84e-01 | 2.75e-01
  460000 | 6.83e-01 | 2.04e-01
  470000 | 6.83e-01 | 2.03e-01
  480000 | 6.83e-01 | 1.95e-01
  490000 | 6.83e-01 | 1.69e-01
  500000 | 6.82e-01 | 9.88e-02
  510000 | 6.82e-01 | 8.70e-02
  520000 | 6.83e-01 | 2.06e-01
  530000 | 6.82e-01 | 8.50e-02
  540000 | 6.82e-01 | 1.14e-01
  550000 | 6.82e-01 | 1.22e-01
  560000 | 6.83e-01 | 2.01e-01
  570000 | 6.84e-01 | 2.73e-01
  580000 | 6.83e-01 | 2.13e-01
  590000 | 6.84e-01 | 2.83e-01
  600000 | 6.82e-01 | 1.20e-01
Stochastic Gradient, batch size= 1 / 10000
  iter   |   fval   |  normit 
       0 | 6.93e-01 | 7.92e-01
   10000 | 6.82e-01 | 3.25e-02
   20000 | 6.82e-01 | 3.50e-02
   30000 | 6.82e-01 | 4.70e-02
   40000 | 6.82e-01 | 4.66e-02
   50000 | 6.82e-01 | 3.05e-02
   60000 | 6.82e-01 | 6.10e-02
   70000 | 6.82e-01 | 4.93e-02
   80000 | 6.82e-01 | 4.82e-02
   90000 | 6.82e-01 | 3.83e-02
  100000 | 6.82e-01 | 5.84e-02
  110000 | 6.82e-01 | 5.28e-02
  120000 | 6.82e-01 | 7.71e-02
  130000 | 6.82e-01 | 4.07e-02
  140000 | 6.82e-01 | 2.07e-02
  150000 | 6.82e-01 | 4.69e-02
  160000 | 6.82e-01 | 4.58e-02
  170000 | 6.82e-01 | 3.61e-02
  180000 | 6.82e-01 | 4.17e-02
  190000 | 6.82e-01 | 3.30e-02
  200000 | 6.82e-01 | 7.61e-02
  210000 | 6.82e-01 | 4.70e-02
  220000 | 6.82e-01 | 4.53e-02
  230000 | 6.82e-01 | 4.71e-02
  240000 | 6.82e-01 | 3.05e-02
  250000 | 6.82e-01 | 8.04e-02
  260000 | 6.82e-01 | 3.16e-02
  270000 | 6.82e-01 | 3.31e-02
  280000 | 6.82e-01 | 6.00e-02
  290000 | 6.82e-01 | 4.87e-02
  300000 | 6.82e-01 | 3.30e-02
  310000 | 6.82e-01 | 8.28e-02
  320000 | 6.82e-01 | 5.10e-02
  330000 | 6.82e-01 | 3.87e-02
  340000 | 6.82e-01 | 1.34e-02
  350000 | 6.82e-01 | 3.54e-02
  360000 | 6.82e-01 | 6.62e-02
  370000 | 6.82e-01 | 4.62e-02
  380000 | 6.82e-01 | 5.06e-02
  390000 | 6.82e-01 | 3.88e-02
  400000 | 6.82e-01 | 4.89e-02
  410000 | 6.82e-01 | 6.63e-02
  420000 | 6.82e-01 | 1.97e-02
  430000 | 6.82e-01 | 4.34e-02
  440000 | 6.82e-01 | 6.74e-02
  450000 | 6.82e-01 | 5.10e-02
  460000 | 6.82e-01 | 2.66e-02
  470000 | 6.82e-01 | 5.08e-02
  480000 | 6.82e-01 | 4.52e-02
  490000 | 6.82e-01 | 4.59e-02
  500000 | 6.82e-01 | 3.09e-02
  510000 | 6.82e-01 | 3.98e-02
  520000 | 6.82e-01 | 2.58e-02
  530000 | 6.82e-01 | 4.76e-02
  540000 | 6.82e-01 | 3.14e-02
  550000 | 6.82e-01 | 3.59e-02
  560000 | 6.82e-01 | 1.05e-01
  570000 | 6.82e-01 | 1.98e-02
  580000 | 6.82e-01 | 5.16e-02
  590000 | 6.82e-01 | 4.66e-02
  600000 | 6.82e-01 | 3.15e-02
Stochastic Gradient, batch size= 1 / 10000
  iter   |   fval   |  normit 
       0 | 6.93e-01 | 7.92e-01
   10000 | 6.85e-01 | 4.41e-01
   20000 | 6.83e-01 | 2.44e-01
   30000 | 6.82e-01 | 1.36e-01
